Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+09
Stop Frequency,+3.200000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+09,-3.019907e+01
1.011000e+09,-2.793801e+01
1.022000e+09,-3.375916e+01
1.033000e+09,-2.966862e+01
1.044000e+09,-2.621127e+01
1.055000e+09,-2.377443e+01
1.066000e+09,-2.369052e+01
1.077000e+09,-2.540775e+01
1.088000e+09,-2.583770e+01
1.099000e+09,-2.450102e+01
1.110000e+09,-2.765673e+01
1.121000e+09,-3.116635e+01
1.132000e+09,-2.605081e+01
1.143000e+09,-2.265792e+01
1.154000e+09,-2.263588e+01
1.165000e+09,-2.170101e+01
1.176000e+09,-2.331922e+01
1.187000e+09,-2.487425e+01
1.198000e+09,-2.624199e+01
1.209000e+09,-2.729535e+01
1.220000e+09,-2.936156e+01
1.231000e+09,-3.831720e+01
1.242000e+09,-2.612640e+01
1.253000e+09,-2.168506e+01
1.264000e+09,-2.127487e+01
1.275000e+09,-2.168236e+01
1.286000e+09,-2.354850e+01
1.297000e+09,-2.564869e+01
1.308000e+09,-3.103684e+01
1.319000e+09,-4.210346e+01
1.330000e+09,-2.916633e+01
1.341000e+09,-2.522666e+01
1.352000e+09,-2.311182e+01
1.363000e+09,-2.334892e+01
1.374000e+09,-2.551180e+01
1.385000e+09,-2.867610e+01
1.396000e+09,-2.699552e+01
1.407000e+09,-2.498014e+01
1.418000e+09,-2.584440e+01
1.429000e+09,-2.867471e+01
1.440000e+09,-2.686025e+01
1.451000e+09,-2.348185e+01
1.462000e+09,-2.475800e+01
1.473000e+09,-2.663715e+01
1.484000e+09,-3.033271e+01
1.495000e+09,-3.071696e+01
1.506000e+09,-2.512935e+01
1.517000e+09,-2.482320e+01
1.528000e+09,-2.326278e+01
1.539000e+09,-2.402354e+01
1.550000e+09,-2.428279e+01
1.561000e+09,-2.581896e+01
1.572000e+09,-3.112861e+01
1.583000e+09,-3.190124e+01
1.594000e+09,-2.353333e+01
1.605000e+09,-2.208765e+01
1.616000e+09,-2.096355e+01
1.627000e+09,-2.109006e+01
1.638000e+09,-2.124743e+01
1.649000e+09,-2.185444e+01
1.660000e+09,-2.567698e+01
1.671000e+09,-2.974740e+01
1.682000e+09,-3.684870e+01
1.693000e+09,-2.659559e+01
1.704000e+09,-2.226869e+01
1.715000e+09,-2.044601e+01
1.726000e+09,-2.058926e+01
1.737000e+09,-2.223538e+01
1.748000e+09,-2.347232e+01
1.759000e+09,-2.416527e+01
1.770000e+09,-2.675587e+01
1.781000e+09,-3.220728e+01
1.792000e+09,-2.788051e+01
1.803000e+09,-2.435449e+01
1.814000e+09,-2.316838e+01
1.825000e+09,-2.175266e+01
1.836000e+09,-2.155535e+01
1.847000e+09,-2.260599e+01
1.858000e+09,-2.415785e+01
1.869000e+09,-2.741388e+01
1.880000e+09,-3.255102e+01
1.891000e+09,-3.293022e+01
1.902000e+09,-2.916721e+01
1.913000e+09,-2.625910e+01
1.924000e+09,-2.707494e+01
1.935000e+09,-2.541277e+01
1.946000e+09,-2.590938e+01
1.957000e+09,-2.530346e+01
1.968000e+09,-2.571889e+01
1.979000e+09,-2.825478e+01
1.990000e+09,-2.970314e+01
2.001000e+09,-2.928541e+01
2.012000e+09,-2.756028e+01
2.023000e+09,-2.717947e+01
2.034000e+09,-2.506027e+01
2.045000e+09,-2.928493e+01
2.056000e+09,-3.779071e+01
2.067000e+09,-3.067333e+01
2.078000e+09,-2.593935e+01
2.089000e+09,-2.343689e+01
2.100000e+09,-2.526582e+01
2.111000e+09,-2.662987e+01
2.122000e+09,-3.403154e+01
2.133000e+09,-4.576681e+01
2.144000e+09,-3.761245e+01
2.155000e+09,-3.851391e+01
2.166000e+09,-2.986256e+01
2.177000e+09,-2.431482e+01
2.188000e+09,-2.103785e+01
2.199000e+09,-2.173497e+01
2.210000e+09,-2.135422e+01
2.221000e+09,-2.449940e+01
2.232000e+09,-2.873856e+01
2.243000e+09,-3.468269e+01
2.254000e+09,-3.217255e+01
2.265000e+09,-2.906923e+01
2.276000e+09,-2.385602e+01
2.287000e+09,-2.174624e+01
2.298000e+09,-2.025750e+01
2.309000e+09,-2.088927e+01
2.320000e+09,-2.355482e+01
2.331000e+09,-2.439835e+01
2.342000e+09,-2.555204e+01
2.353000e+09,-2.647926e+01
2.364000e+09,-2.486603e+01
2.375000e+09,-2.375367e+01
2.386000e+09,-2.256182e+01
2.397000e+09,-2.385741e+01
2.408000e+09,-2.358776e+01
2.419000e+09,-2.438144e+01
2.430000e+09,-2.766075e+01
2.441000e+09,-2.836750e+01
2.452000e+09,-2.950324e+01
2.463000e+09,-2.980163e+01
2.474000e+09,-2.761240e+01
2.485000e+09,-2.640492e+01
2.496000e+09,-2.360574e+01
2.507000e+09,-2.303360e+01
2.518000e+09,-2.333818e+01
2.529000e+09,-2.451916e+01
2.540000e+09,-3.057575e+01
2.551000e+09,-3.639826e+01
2.562000e+09,-3.219742e+01
2.573000e+09,-3.150941e+01
2.584000e+09,-3.580427e+01
2.595000e+09,-3.432635e+01
2.606000e+09,-3.002024e+01
2.617000e+09,-2.824893e+01
2.628000e+09,-2.744381e+01
2.639000e+09,-3.443415e+01
2.650000e+09,-2.826755e+01
2.661000e+09,-2.348692e+01
2.672000e+09,-2.194699e+01
2.683000e+09,-2.142510e+01
2.694000e+09,-2.259528e+01
2.705000e+09,-2.396837e+01
2.716000e+09,-2.497967e+01
2.727000e+09,-3.096402e+01
2.738000e+09,-2.571489e+01
2.749000e+09,-2.116915e+01
2.760000e+09,-1.785553e+01
2.771000e+09,-1.730467e+01
2.782000e+09,-1.686456e+01
2.793000e+09,-1.775888e+01
2.804000e+09,-1.946182e+01
2.815000e+09,-2.351167e+01
2.826000e+09,-2.243275e+01
2.837000e+09,-2.125393e+01
2.848000e+09,-1.698173e+01
2.859000e+09,-1.452458e+01
2.870000e+09,-1.310639e+01
2.881000e+09,-1.325245e+01
2.892000e+09,-1.427693e+01
2.903000e+09,-1.569292e+01
2.914000e+09,-1.809485e+01
2.925000e+09,-2.014882e+01
2.936000e+09,-1.930878e+01
2.947000e+09,-1.529558e+01
2.958000e+09,-1.289981e+01
2.969000e+09,-1.168460e+01
2.980000e+09,-1.111715e+01
2.991000e+09,-1.178072e+01
3.002000e+09,-1.339278e+01
3.013000e+09,-1.519107e+01
3.024000e+09,-1.599855e+01
3.035000e+09,-1.493854e+01
3.046000e+09,-1.302289e+01
3.057000e+09,-1.113616e+01
3.068000e+09,-1.018654e+01
3.079000e+09,-9.848995e+00
3.090000e+09,-1.073550e+01
3.101000e+09,-1.185180e+01
3.112000e+09,-1.317842e+01
3.123000e+09,-1.431725e+01
3.134000e+09,-1.453840e+01
3.145000e+09,-1.381927e+01
3.156000e+09,-1.148653e+01
3.167000e+09,-1.014016e+01
3.178000e+09,-9.690899e+00
3.189000e+09,-9.680359e+00
3.200000e+09,-1.066090e+01
Trace Name,Trace B
Meas Type,S21
Start Frequency,+1.000000000E+09
Stop Frequency,+3.200000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+09,-2.468515e+00
1.011000e+09,-2.312275e+00
1.022000e+09,-2.418499e+00
1.033000e+09,-2.770584e+00
1.044000e+09,-3.180295e+00
1.055000e+09,-3.412943e+00
1.066000e+09,-3.398995e+00
1.077000e+09,-3.268599e+00
1.088000e+09,-3.075873e+00
1.099000e+09,-2.797316e+00
1.110000e+09,-2.478449e+00
1.121000e+09,-2.368371e+00
1.132000e+09,-2.545579e+00
1.143000e+09,-2.849816e+00
