Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+1.000000000E+09
Stop Frequency,+3.200000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+09,-2.581556e+01
1.011000e+09,-2.768576e+01
1.022000e+09,-2.620930e+01
1.033000e+09,-2.350776e+01
1.044000e+09,-2.481105e+01
1.055000e+09,-2.429025e+01
1.066000e+09,-2.539310e+01
1.077000e+09,-2.653092e+01
1.088000e+09,-2.836628e+01
1.099000e+09,-2.950707e+01
1.110000e+09,-2.760534e+01
1.121000e+09,-2.551048e+01
1.132000e+09,-2.401871e+01
1.143000e+09,-2.286490e+01
1.154000e+09,-2.317214e+01
1.165000e+09,-2.277700e+01
1.176000e+09,-2.309100e+01
1.187000e+09,-2.351848e+01
1.198000e+09,-2.450242e+01
1.209000e+09,-2.652278e+01
1.220000e+09,-2.698441e+01
1.231000e+09,-2.729704e+01
1.242000e+09,-2.507443e+01
1.253000e+09,-2.368559e+01
1.264000e+09,-2.339674e+01
1.275000e+09,-2.373510e+01
1.286000e+09,-2.330140e+01
1.297000e+09,-2.308782e+01
1.308000e+09,-2.206904e+01
1.319000e+09,-2.187620e+01
1.330000e+09,-2.113459e+01
1.341000e+09,-2.077410e+01
1.352000e+09,-2.033607e+01
1.363000e+09,-2.035524e+01
1.374000e+09,-2.067845e+01
1.385000e+09,-2.100053e+01
1.396000e+09,-2.152881e+01
1.407000e+09,-2.449697e+01
1.418000e+09,-2.567466e+01
1.429000e+09,-2.400297e+01
1.440000e+09,-2.272179e+01
1.451000e+09,-2.212052e+01
1.462000e+09,-2.134919e+01
1.473000e+09,-2.021571e+01
1.484000e+09,-1.993139e+01
1.495000e+09,-2.039968e+01
1.506000e+09,-1.975161e+01
1.517000e+09,-2.057802e+01
1.528000e+09,-2.088555e+01
1.539000e+09,-2.140453e+01
1.550000e+09,-2.175488e+01
1.561000e+09,-2.163441e+01
1.572000e+09,-2.089500e+01
1.583000e+09,-2.003105e+01
1.594000e+09,-2.087083e+01
1.605000e+09,-1.991457e+01
1.616000e+09,-2.053259e+01
1.627000e+09,-2.056937e+01
1.638000e+09,-1.957970e+01
1.649000e+09,-1.927204e+01
1.660000e+09,-1.965549e+01
1.671000e+09,-1.899327e+01
1.682000e+09,-1.902657e+01
1.693000e+09,-1.897028e+01
1.704000e+09,-1.904062e+01
1.715000e+09,-1.940851e+01
1.726000e+09,-2.061319e+01
1.737000e+09,-2.215434e+01
1.748000e+09,-2.267028e+01
1.759000e+09,-2.235929e+01
1.770000e+09,-2.083648e+01
1.781000e+09,-2.024453e+01
1.792000e+09,-1.976049e+01
1.803000e+09,-1.960980e+01
1.814000e+09,-1.880057e+01
1.825000e+09,-1.925348e+01
1.836000e+09,-1.933315e+01
1.847000e+09,-1.928597e+01
1.858000e+09,-2.004079e+01
1.869000e+09,-2.110371e+01
1.880000e+09,-2.122955e+01
1.891000e+09,-2.223824e+01
1.902000e+09,-2.180043e+01
1.913000e+09,-2.197877e+01
1.924000e+09,-2.125224e+01
1.935000e+09,-2.072596e+01
1.946000e+09,-2.077561e+01
1.957000e+09,-2.041996e+01
1.968000e+09,-1.969030e+01
1.979000e+09,-2.003083e+01
1.990000e+09,-2.011355e+01
2.001000e+09,-2.051023e+01
2.012000e+09,-2.061975e+01
2.023000e+09,-2.051439e+01
2.034000e+09,-2.016967e+01
2.045000e+09,-2.057742e+01
2.056000e+09,-2.163050e+01
2.067000e+09,-2.244680e+01
2.078000e+09,-2.306572e+01
2.089000e+09,-2.319980e+01
2.100000e+09,-2.426182e+01
2.111000e+09,-2.394852e+01
2.122000e+09,-2.278696e+01
2.133000e+09,-2.179091e+01
2.144000e+09,-2.177924e+01
2.155000e+09,-1.996558e+01
2.166000e+09,-2.038651e+01
2.177000e+09,-2.117128e+01
2.188000e+09,-2.221205e+01
2.199000e+09,-2.421249e+01
2.210000e+09,-2.701582e+01
2.221000e+09,-2.964443e+01
2.232000e+09,-2.960354e+01
2.243000e+09,-2.580687e+01
2.254000e+09,-2.364795e+01
2.265000e+09,-2.148486e+01
2.276000e+09,-2.069451e+01
2.287000e+09,-2.161911e+01
2.298000e+09,-2.208523e+01
2.309000e+09,-2.196673e+01
2.320000e+09,-2.403239e+01
2.331000e+09,-2.590110e+01
2.342000e+09,-2.818022e+01
2.353000e+09,-3.268788e+01
2.364000e+09,-2.989866e+01
2.375000e+09,-3.501275e+01
2.386000e+09,-3.493042e+01
2.397000e+09,-3.471673e+01
2.408000e+09,-3.632288e+01
2.419000e+09,-3.069589e+01
2.430000e+09,-3.159259e+01
2.441000e+09,-2.998178e+01
2.452000e+09,-2.627690e+01
2.463000e+09,-2.480499e+01
2.474000e+09,-2.470776e+01
2.485000e+09,-2.490032e+01
2.496000e+09,-2.407017e+01
2.507000e+09,-2.534803e+01
2.518000e+09,-2.537213e+01
2.529000e+09,-2.571336e+01
2.540000e+09,-2.657707e+01
2.551000e+09,-2.687723e+01
2.562000e+09,-2.756022e+01
2.573000e+09,-2.869800e+01
2.584000e+09,-2.867514e+01
2.595000e+09,-3.036836e+01
2.606000e+09,-3.146915e+01
2.617000e+09,-3.065641e+01
2.628000e+09,-2.713338e+01
2.639000e+09,-2.805498e+01
2.650000e+09,-2.553392e+01
2.661000e+09,-2.523897e+01
2.672000e+09,-2.423647e+01
2.683000e+09,-2.528024e+01
2.694000e+09,-2.575006e+01
2.705000e+09,-2.438063e+01
2.716000e+09,-2.576570e+01
2.727000e+09,-2.536427e+01
2.738000e+09,-2.464509e+01
2.749000e+09,-2.482278e+01
2.760000e+09,-2.504566e+01
2.771000e+09,-2.605816e+01
2.782000e+09,-2.908800e+01
2.793000e+09,-2.853948e+01
2.804000e+09,-2.571940e+01
2.815000e+09,-2.409388e+01
2.826000e+09,-2.258998e+01
2.837000e+09,-2.094039e+01
2.848000e+09,-1.909272e+01
2.859000e+09,-1.795383e+01
2.870000e+09,-1.895499e+01
2.881000e+09,-1.863330e+01
2.892000e+09,-2.007798e+01
2.903000e+09,-2.177467e+01
2.914000e+09,-2.353233e+01
2.925000e+09,-2.576773e+01
2.936000e+09,-2.437143e+01
2.947000e+09,-2.195701e+01
2.958000e+09,-1.963711e+01
2.969000e+09,-1.812569e+01
2.980000e+09,-1.754044e+01
2.991000e+09,-1.674571e+01
3.002000e+09,-1.676972e+01
3.013000e+09,-1.684231e+01
3.024000e+09,-1.717056e+01
3.035000e+09,-1.685795e+01
3.046000e+09,-1.713782e+01
3.057000e+09,-1.747788e+01
3.068000e+09,-1.872120e+01
3.079000e+09,-1.895001e+01
3.090000e+09,-1.970456e+01
3.101000e+09,-1.892756e+01
3.112000e+09,-1.806307e+01
3.123000e+09,-1.729035e+01
3.134000e+09,-1.728530e+01
3.145000e+09,-1.713534e+01
3.156000e+09,-1.514131e+01
3.167000e+09,-1.501525e+01
3.178000e+09,-1.487202e+01
3.189000e+09,-1.463302e+01
3.200000e+09,-1.428943e+01
Trace Name,Trace B
Meas Type,S21
Start Frequency,+1.000000000E+09
Stop Frequency,+3.200000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+09,5.275542e-01
1.011000e+09,3.944131e-01
1.022000e+09,2.854387e-01
1.033000e+09,1.361125e-01
1.044000e+09,1.398758e-01
1.055000e+09,2.264902e-01
1.066000e+09,3.490405e-01
1.077000e+09,4.653997e-01
1.088000e+09,4.905977e-01
1.099000e+09,4.286921e-01
1.110000e+09,3.055258e-01
1.121000e+09,1.925419e-01
1.132000e+09,1.930544e-01
1.143000e+09,2.421580e-01
